"Protein","Placenta_19_R1_Core","Placenta_19_R1_STB","Placenta_19_R2_Core","Placenta_19_R2_STB","Placenta_19_R3_STB","Placenta_19_R5_Core","Placenta_19_R5_STB","Placenta_23_R1_Core","Placenta_23_R1_STB","Placenta_23_R2_Core","Placenta_23_R2_STB","Placenta_23_R3_Core","Placenta_23_R3_STB","Placenta_23_R4_Core","Placenta_23_R4_STB","Placenta_23_R5_Core","Placenta_23_R5_STB","Placenta_26_R1_Core","Placenta_26_R1_STB","Placenta_26_R2_Core","Placenta_26_R2_STB","Placenta_26_R3_Core","Placenta_26_R3_STB","Placenta_26_R4_STB","Placenta_26_R5_Core","Placenta_26_R5_STB"
"Protein1",5.80286965131701,3.94672493536403,6.88079158707397,3.12155120355832,3.55605289327706,6.30154125307201,3.63047843973892,6.40069098768457,2.79254207222608,5.41374944590437,3.40961934735714,7.13277803122225,1.5665938635076,5.55482910787604,3.48588427343598,5.5820200618931,3.84722354650234,6.4644417623768,1.60710929631758,6.14222721658283,-1.61995533516915,5.78727589942892,3.75787312833158,2.0434124716198,5.80558007835315,3.77338132807902
"Protein2",-0.574452509493796,1.5029383039669,-0.451652154368449,1.01031801649536,0.916579974684431,-0.524347022902184,1.38867274722178,-0.3744503507099,1.46159150395296,0.375326497036087,0.984822286261753,-0.42054546371731,1.08651869958091,-0.102416505297896,1.03862099986082,-1.4475281177588,1.49978557389023,0.885249031138078,1.47988563577375,0.726301578350167,1.15461014166743,-0.0476178490164667,1.57463062198502,1.37965160617571,-0.734493978642316,1.56482658434957
"Protein3",-0.199540144171013,1.47066384330812,-0.863976805854961,1.02075469841515,0.804905784893716,-0.70512022112979,1.6537736944272,-0.278792600242385,1.41007830156533,0.48381652731433,0.995303306623557,-0.298310632330589,1.63516890239213,0.124280204753045,1.11732691012787,-1.27479522918309,1.39093463487964,0.490063297713935,1.75375931432647,0.455606245020526,1.04439923607434,-0.284829260080148,1.17172670874646,1.53239971036248,-0.473526052951426,1.4078837546562
"Protein4",0.798771969332341,0.464104677111115,0.297575817188584,0.510705242585264,0.1351811735412,1.25889387579205,0.261525131937262,0.540692868600001,0.157501131770999,1.21907795203929,0.101963013065621,0.975288514243783,0.0303128328775486,1.37102143610391,0.317142319173171,0.345064637192319,0.62272333512092,1.19607395503743,0.279612704918978,1.25766983299656,0.0650878695525101,0.769398425265444,0.457687332619869,0.657587042393061,1.00879742568674,1.01723306676273
"Protein5",7.0948135034695,8.2885660128004,6.9785134208208,8.21121356804245,8.42723899930326,5.89268081411574,7.23175272580031,7.04168459602921,7.51918047367322,8.03122971123793,8.12730390264542,7.4844178816281,7.15208201328911,6.66509550239646,8.2489688479604,5.54917878628946,7.78620076844381,7.684518630748,6.62521703065365,8.52249053780174,7.69875014209132,7.95454960974863,7.69616100601984,8.3954351600258,8.0154502808057,8.76216612390037
"Protein6",NA,-3.88700900255559,NA,5.43189250757166,4.32094824017184,4.65247414830742,4.40963795286556,5.25281114266935,4.91908397820862,NA,4.43947950848713,NA,5.05930574047826,4.44604969375792,4.31147846524632,NA,-5.12382987540544,4.03126976568949,1.66699882288847,NA,3.74181742042474,NA,4.07571335921211,2.94987416933428,NA,4.45327781863011
"Protein7",NA,1.44909728630114,-1.65948023377012,NA,-2.47536159684295,NA,1.27019735001337,NA,NA,NA,NA,NA,NA,NA,0.549361896343161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Protein8",2.7596944950639,4.51229565194878,2.8599399708387,4.25640047252252,3.81628528915144,2.31733730683723,4.78368436200071,2.87978778136406,4.42274242769929,2.92034646259405,4.25245702406966,2.71995558724133,4.54499739571769,3.10420295164411,4.14782855199674,2.134970039972,4.30857368256504,3.70682100133823,4.95969702258868,3.2194893180162,4.22907930201403,2.73302179751179,4.50868287823644,4.53199746523963,2.2185572237249,4.55699714763417
"Protein9",4.56977070657098,4.54632438685832,4.7522306157214,4.85246281618745,4.70131106166425,4.81944520958414,4.42555707853845,4.70637113349945,4.32054330578478,5.11064555208455,4.23611668677698,4.67513871034999,3.74931034217971,4.91753249613879,4.41518083256675,3.80276476192645,4.43789439757792,4.95731858697239,3.89663783866202,5.10827902099718,4.26556267806204,5.11732454886693,4.32139938691968,4.71295353141073,5.18472499383004,4.89637873372243
"Protein10",7.19861997068627,1.40264212690172,0.722123730780709,5.66353393142133,5.724379540892,8.76093756537091,3.49151973030489,2.26848930570925,5.87252666293141,4.320238585767,1.25273589697569,1.12816983169164,4.58726803265529,3.79278442799441,5.6732309562159,8.20257299827122,4.29765042090759,1.90083593449222,5.65367529683497,6.0848982062949,3.68592375759787,4.01671625287415,5.54703991376084,5.06108776518947,4.85172993991354,-0.155657671208347
